fokus,topik,bahasa,level_bloom,pertanyaan,input_text,target_text
Next.js,Next.js Internationalization (i18n),English,Evaluating,A Next.js e-commerce site experiences SEO issues with translated product pages. Should you use sub-path routing (/en/products) or domain routing (en.example.com)? Justify your recommendation.,"Level: Evaluating
Topik: Next.js Internationalization (i18n)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A Next.js e-commerce site experiences SEO issues with translated product pages. Should you use sub-path routing (/en/products) or domain routing (en.example.com)? Justify your recommendation.
Cloud Computing,AWS EC2,English,Remembering,What is AWS EC2 and what does EC2 stand for?,"Level: Remembering
Topik: AWS EC2
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is AWS EC2 and what does EC2 stand for?
Next.js,Next.js Middleware Authentication,English,Applying,A Next.js application requires authentication for all routes under /dashboard. Write middleware code that redirects unauthenticated users to /login.,"Level: Applying
Topik: Next.js Middleware Authentication
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A Next.js application requires authentication for all routes under /dashboard. Write middleware code that redirects unauthenticated users to /login.
Python OOP,Python Method Overriding,Indonesian,Analyzing,"Sebuah class `Shape` memiliki method `area()` yang mengembalikan nilai 0. Class `Rectangle` mewarisi dari `Shape` dan meng-override `area()` untuk menghitung lebar × tinggi. Namun, ketika memanggil `area()` pada objek Rectangle, hasilnya masih 0. Identifikasi apa yang mungkin menyebabkan masalah ini.","Level: Analyzing
Topik: Python Method Overriding
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah class `Shape` memiliki method `area()` yang mengembalikan nilai 0. Class `Rectangle` mewarisi dari `Shape` dan meng-override `area()` untuk menghitung lebar × tinggi. Namun, ketika memanggil `area()` pada objek Rectangle, hasilnya masih 0. Identifikasi apa yang mungkin menyebabkan masalah ini."
Operating Systems,Segmentation,English,Remembering,What is segmentation in operating systems?,"Level: Remembering
Topik: Segmentation
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is segmentation in operating systems?
Python OOP,Python Inheritance,English,Remembering,What is the keyword used in Python to create a class that inherits from another class?,"Level: Remembering
Topik: Python Inheritance
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the keyword used in Python to create a class that inherits from another class?
Cloud Computing,Google Cloud Functions,Indonesian,Applying,"Anda perlu memproses gambar yang diunggah secara otomatis ketika tiba di bucket Cloud Storage. Jenis trigger apa yang akan Anda konfigurasi untuk Cloud Function Anda, dan apa tipe event-nya?","Level: Applying
Topik: Google Cloud Functions
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Anda perlu memproses gambar yang diunggah secara otomatis ketika tiba di bucket Cloud Storage. Jenis trigger apa yang akan Anda konfigurasi untuk Cloud Function Anda, dan apa tipe event-nya?"
Backend Python,Django Signals,Indonesian,Creating,"Rancanglah sistem custom signal untuk platform e-commerce multi-tenant di mana Anda perlu memberitahu berbagai service (inventory, shipping, analytics) ketika status order berubah, dengan memastikan bahwa signal setiap tenant terisolasi dan tidak saling mengganggu.","Level: Creating
Topik: Django Signals
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancanglah sistem custom signal untuk platform e-commerce multi-tenant di mana Anda perlu memberitahu berbagai service (inventory, shipping, analytics) ketika status order berubah, dengan memastikan bahwa signal setiap tenant terisolasi dan tidak saling mengganggu."
Sistem Operasi,Virtualisasi dan Shell,Indonesia,Remembering,Bagaimana guest OS berkomunikasi dengan hypervisor pada paravirtualization?,"Level: Remembering
Topik: Virtualisasi dan Shell
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bagaimana guest OS berkomunikasi dengan hypervisor pada paravirtualization?
Python,Python Memory Management,Indonesian,Remembering,Apa mekanisme utama yang digunakan Python untuk manajemen memori otomatis?,"Level: Remembering
Topik: Python Memory Management
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa mekanisme utama yang digunakan Python untuk manajemen memori otomatis?
Machine Learning,Cross Validation,English,Understanding,Explain why cross-validation provides a more reliable estimate of model performance compared to a single train-test split.,"Level: Understanding
Topik: Cross Validation
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain why cross-validation provides a more reliable estimate of model performance compared to a single train-test split.
Information Retrieval,Semantic Search,English,Evaluating,"A company is deciding between implementing a traditional keyword-based search or a semantic search system for their e-commerce platform. Based on factors like accuracy, cost, and user experience, which approach would you recommend and why?","Level: Evaluating
Topik: Semantic Search
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A company is deciding between implementing a traditional keyword-based search or a semantic search system for their e-commerce platform. Based on factors like accuracy, cost, and user experience, which approach would you recommend and why?"
DevOps,Kubernetes Services,Indonesian,Analyzing,Sebuah aplikasi microservices mengalami kegagalan koneksi intermiten antar pod. Analisis bagaimana Kubernetes Services dengan selector label yang tepat dapat mengatasi masalah ini dibandingkan dengan komunikasi langsung pod-to-pod.,"Level: Analyzing
Topik: Kubernetes Services
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah aplikasi microservices mengalami kegagalan koneksi intermiten antar pod. Analisis bagaimana Kubernetes Services dengan selector label yang tepat dapat mengatasi masalah ini dibandingkan dengan komunikasi langsung pod-to-pod.
Operating Systems,Threads and Synchronization,English,Remembering,"In a mutex-lock mechanism, when is the acquire() operation executed?","Level: Remembering
Topik: Threads and Synchronization
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","In a mutex-lock mechanism, when is the acquire() operation executed?"
Deep Learning,Convolutional Neural Network (CNN),Indonesian,Analyzing,Bandingkan peran pooling layer dan convolutional layer dalam CNN. Bagaimana masing-masing berkontribusi terhadap ekstraksi fitur dan efisiensi komputasi?,"Level: Analyzing
Topik: Convolutional Neural Network (CNN)
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan peran pooling layer dan convolutional layer dalam CNN. Bagaimana masing-masing berkontribusi terhadap ekstraksi fitur dan efisiensi komputasi?
Python,Python Tuple Immutability,Indonesian,Remembering,Apa yang dimaksud dengan tuple bersifat immutable dalam Python?,"Level: Remembering
Topik: Python Tuple Immutability
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa yang dimaksud dengan tuple bersifat immutable dalam Python?
Server Side,Server Side Rendering Concepts,English,Evaluating,"A startup is building a social media dashboard that displays real-time user analytics. Should they use SSR or CSR? Justify your recommendation considering performance, SEO, and development complexity.","Level: Evaluating
Topik: Server Side Rendering Concepts
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A startup is building a social media dashboard that displays real-time user analytics. Should they use SSR or CSR? Justify your recommendation considering performance, SEO, and development complexity."
Next.js,Next.js ISR (Incremental Static Regeneration),English,Understanding,Explain how Incremental Static Regeneration differs from traditional Static Site Generation (SSG) in Next.js.,"Level: Understanding
Topik: Next.js ISR (Incremental Static Regeneration)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how Incremental Static Regeneration differs from traditional Static Site Generation (SSG) in Next.js.
Manajemen Bisnis,Rasio Likuiditas (Current & Quick Ratio),English,Creating,Design a liquidity improvement strategy for a manufacturing company with a current ratio of 1.1 and a quick ratio of 0.6. Propose specific actions and explain how each would impact the ratios.,"Level: Creating
Topik: Rasio Likuiditas (Current & Quick Ratio)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Design a liquidity improvement strategy for a manufacturing company with a current ratio of 1.1 and a quick ratio of 0.6. Propose specific actions and explain how each would impact the ratios.
Server Side,Server Side Security Best Practices,Indonesian,Understanding,Jelaskan bagaimana serangan SQL injection bekerja dan mengapa parameterized queries dapat mencegahnya.,"Level: Understanding
Topik: Server Side Security Best Practices
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan bagaimana serangan SQL injection bekerja dan mengapa parameterized queries dapat mencegahnya.
Web Development,JWT Authentication,Indonesian,Remembering,Apa kepanjangan dari JWT dan sebutkan tiga komponen utamanya?,"Level: Remembering
Topik: JWT Authentication
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa kepanjangan dari JWT dan sebutkan tiga komponen utamanya?
Sistem Operasi,C-Language dan Processes,Indonesian,Applying,Buatlah program C yang menggunakan fork() untuk membuat child process. Parent harus mencetak 'Parent Process' dan child harus mencetak 'Child Process'.,"Level: Applying
Topik: C-Language dan Processes
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Buatlah program C yang menggunakan fork() untuk membuat child process. Parent harus mencetak 'Parent Process' dan child harus mencetak 'Child Process'.
Next.js,Next.js Layout System,English,Understanding,Explain how nested layouts work in Next.js and how they preserve state during navigation.,"Level: Understanding
Topik: Next.js Layout System
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how nested layouts work in Next.js and how they preserve state during navigation.
Flutter,Flutter State Management Provider,Indonesian,Analyzing,Bandingkan implikasi performa antara penggunaan Provider.of<T>(context) dengan widget Consumer<T> saat melakukan rebuild widget. Dalam skenario apa masing-masing pendekatan lebih tepat digunakan?,"Level: Analyzing
Topik: Flutter State Management Provider
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan implikasi performa antara penggunaan Provider.of<T>(context) dengan widget Consumer<T> saat melakukan rebuild widget. Dalam skenario apa masing-masing pendekatan lebih tepat digunakan?
Machine Learning,Feature Scaling,English,Understanding,Explain why feature scaling is necessary when using distance-based algorithms like K-Nearest Neighbors or Support Vector Machines.,"Level: Understanding
Topik: Feature Scaling
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain why feature scaling is necessary when using distance-based algorithms like K-Nearest Neighbors or Support Vector Machines.
